input,output
What exactly do you want to do If styling then you can directly target lane-car,I want to make it so that when I hover over lane-3 it should trigger a animation on lane-car to translate on lane-3 I have done it for lane-1 with lane-1+lane-2>lane-car. Tho it won't work on lane-3 #lane-2:has(+ #lane-3:hover) I tried something like this which let me change lane-2 color when we hover over lane-3
This needs js <This message was edited> I thought but yes for last element it won't work U can try keeping car absolute and out of lanes,yaa I think then it would be more better to only keep one div and translate it accordingly
Yes Is this assignment for this week,yes we have to make a car game using animations
What was taught in last session Ok 👌,animations. keyframe
Media queries?,yes that too for the website to be used in phone view as well
👍,bhaiya mera nav bar me kuch gadabad ho raha he.
Navbar ke liye kya properties use Kiya hai,Bhaiya width ka issue tha. Mene % me convert Kiya to ho gaya.
Ha 👍,Thank you bhaiya
Hii What was covered in last session,"sir told us about different frameworks in css. boosttrap, tailwind"
Only this,ho yevadach yetla last time
So use karun demo dila kay,ho tailwind ani Bootstrap sathi
Ok thanks 👍,no problem
Hii Call everyone fast,Ho
Sagle main session la pan evdha late kartat ka,Mostly call karava lagta.
Hmm,😅
Give me your email,ameypacharkar076@gmail.com
Sheet pathavli aahe tula Jynacha nav missing asel te add kar,Ho milali mala sheet Ho
Ani completed asa mark kar,Ho karto me Dada sarvanche assignments che status bharle me. Shivam ani Tanmoy che nahi ahet assignment link in the excel sir has send
Ok,"dada are there ways to use private, public like in java? how can I make my function or object private?"
There are no keywords for this But private can be implemented in other way We'll be learning about oops later,oh ok I was trying to search regarding that but the implementation was like function inside function
yes its called closures we'll be learning in upcoming sessions,ok chalel <This message was edited>
Hii Share me that attendance file later,Ho Sangto me parth la
Ha,dada datetime asta ka js madhe? current date store karachi astil tar?
Ho w3schools var bagh,milala data mahanun ahe👍
Ha,dada lets say  mala don variables return karacha ahet from a function. me karu sakto ka? ki always one return value?
Return object,oh so then we can access it via indexing
Yes with key,dada do we have to submit the book assignment as well on the google sheets?
"Yes, actually can u move that data to new sheet I forgot to tell you",with done part or with links? or keep the link one separated?
For now do for done part And add links in old sheet,ok chalel dada the new sheet is not shared with me
Ask parth U shared your email right,Yes Bolo ahe me tyala. To bola karto mahanun
Ok,Ajj sir rannacha session ahe ka? Vinayak sir bolat hote asel mahanun
Asu shakto Most probably asnar Ekda Abhishek siran na message tak Mi actually aj baher aahe so jast communicate nahi karu shakat,Chalel dada session ahe ka ata?
Ho 9:30,oh ok chalel
Sang saglyanna Ani time var yayla sang,Ho sangto me dada what is better to use for image? url link or download the image? me search kela tar cdn image boltat ahet
so the the thing is no matter what u use it depends on form where and how fast the image is served even if u download image u have to serve it when u host site so it might be better in some cases cdn is correct answer as they are content delevery network which serves data from closest server to you <This message was edited> the image is replicated at multiple places at data centers where your app users lie,interesting so is it like netlify to put images on cdn? or would I have to buy/create server of my own?
there are service providers like cloudflare it depends on use case some put whole website on cdn <This message was edited> some put only images <This message was edited>,so website would be more better since then it would reduce the ping and delay but it would cost more right?
yes correct,and images when it is like a lot of images
yes and also because images load slow due to size,tho if upload the images in cdn then host my site on netlify would it be considered for pricing or it is considered as developer mode? like in firebase?
For that you will have to look for the specs of cloud providers I haven't used one yet It is to be used for serious traffic applications On netlify u can upload images for free in files And when using cdn u actually get a link of image,i tried searching it says image storing is part of free plan and that i will have to configure the netlify to config with cloudflare's image cdn
"Yeah there might be some other ways to connect too This actually is part of cloud So it's not under web development, so even I don't have much experience with it",ah ya would it be not ideal to use it ? <This message was edited>
Yes it's used a lot actually,i thought it would be more better to search for optimised way to use images
Yes it's always good to learn,then maybe i will try configuring it for my restaurant project
U can try but this comes under advanced things But yah it might be doable Also I wanted to ask do u have exam on Saturday,ho try karun pahato he no exam is on Monday now
Ok then will keep a revision session on Saturday,chalel
Yes kar Ani sang zala tar Mi pan ajun try nahi kela so jast idea nahi,ho sangto me cloudflare try karu ka? ki dusara konte website ahe for cloud storage?
"Cdn che providers sodh, mala he mahit ahe Karan he saglyat jast use hota Ani famous aahe <This message was edited>",ah acha tho it will give api right? most likely te pahava lakel saka access karna <This message was edited>
Yes Ha cdn cha ek alternative ahe ki jevha aplyala mahit ahe ki kontya region madhe aple users ahet tevha apn cloud provider var region vise host karu shakto e.g. AWS Netlify pan behind the scenes AWS ach use karta ig,aws is? amazon cha ahe na kahe tari?
Ho Amazon Web services Hosting platform aahe He apan last la baghnar ahot,ah so cloud computing jasa?
Ha,acha bhagto me ekda try karto
So aata pasun khup sodhaychi garaj nahi Yes but direct AWS var nako jau Free providers ach bagh Bill bhari yeta 😂,nahi ofcourse providers bhagto ahe me
Yes,tho if we dont consider cdn which would be better for some scale projects? downloading the image or just put url?
U can check load times from network tab and decide,network tab? in developer tool?
As we don't know where the url one is coming from Yes,oh
On local obviously local image will load fast,"true tho if i download it, what would be the source then?"
So check on hosted site It u download and put in netlify then it comes from netlify servers,oh interesting tho it doesnt provide cdn sadly
U might find region on netlify somewhere Yes,yaa so it doesnt matter what I do. at the end of day its netlify's server or image's sever which I cant guarantee will be closer
Yes But in large scale projects we have control over this,by cdn? or by other means?
"AWS , cloudflare and many more providers Also we don't rely on single provider sometimes There is a lot that you will learn in cloud computing next sem If I keep talking now it will take hours 😂",that's interesting how much we can do to make a few seconds difference in loading time
Yes and it's very important,😂
I'll tell u my trick U can use svg type image as html and put it So images will load as fast as website Ofcourse it might take some milliseconds extra to render,tho it would be interesting to listen
I have exams too 😂,yaa tho I am thinking of using dom to render the whole object as parts
Nice,like I made one container in which I will put small containers using dom and grid
Keep experimenting and exploring,so like if I add new item in object no extra html to write
Yes,yaa I am like connecting android and exploring
Nice 👍 React works similar to this U can make ur own library now Although a lot is done in react That's just basic idea We'll see react too,oh that would be last right?
Yah,so a long time
U have time go slow,thanks dada
Anytime 👍,dada how can we check for a state change on a div? like if any new elements are added in the div or removed from div?
These kind of things are easier to do in react But there is something called MutationObserver api that u can check This will help But I have never used this U can also make a function to check childList using event listeners,what is childList? it shows the children of a tag?
Yes,that would help
It's called children in this case,i see
