input,output
Hloooo Ha lecture zala ki ekdam fat fat Yaar pan ata te bus cha kai karayacha🥲,Ata sathi message takuya group var udya ki bus ki fee denya sathi Jar nahi reply ala tar mag call karun check Karo Chalel?
?? kai msg taknar?? bus vala bhetla nahi na ajun paranta,Ah mug thambav lagel na? Karal total amount mahit nahi
haa,Did sir told us to collect money or find bus?😅
te baghu apan nantar prize cha find bus,Chalel Different bus? Not same like in first year?
"yes ek kaam karu call karuya me ata khato ahe jara tu pan khaun ghe mughe msg karun call karto tula, k?",Chalel
yes see ya than,Ahes ka free ata?
"ho ata ahe call karu ka?? Sry re late takla msg ani bughitla pan nahi me Udya 1:15 la call, k?",Noko college madhe asel me 5la?
K Me nahi kela tar tu karun tak np,Chalel
Bro aaj mala time bhetla nahi Me tyanla udya call karel Te jara clg che meetings hote 🥲 Tugha kahi zala ka bolun??,nahi re maje baba late ale
ohh me udya karel office hours madhe,dakale ahet bakto me chalel me pun bhekto Bagitlas ka re?
Aik https://docs.google.com/spreadsheets/d/1BD8lsp1ohB7-DqwcOhYUbD_RgTOBxdo6lJzTqmhgukY/edit?usp=sharing Mala siddesh ne hi link send keli ahe Aplya la dadar sathi same banvai chi ahe,Thamb Ashmit Ani me dadar sathi karat ahe hi link Bus Siddhesh karnar ahe na?
Asa banvun zala asel tar siddesh la send karun tak +91 74002 02467 Siddesh,Chalel Baki ahe pun
Achaaa,Bakto me
Siddesh shi bolun ghe mugh,Chalel
kahi help havi ahe ka excel sathi??,Ek kam karshil? Ask PPL in your group if they have filled the form
"""our group"" ??",Are D3 vala ahe na sir ranni banav Lela Majya kade sarvanche number nahi ahet
mmmmm mala nahi mahit he tar,Ashmit Ani Aum cha group?
gyancha contact ahe tyanla karto msg ahe ka grp?? me nai techat asel tar,Are sir made that group for group study *those groups Me Tula pathavto Excel sheet
yes me update karto,https://docs.google.com/spreadsheets/d/1Pdlc3_tzUycI9NOZKcPXsruw4hm9sfGzoj3JGafE6Ag/edit?usp=sharing Hota ahe ka?
hota ahe,Chalel Rahelel che ekta confirm karun ghe Jar number astel tar
yes,Krishnaveni cha me manjul la sangetla ahe check karayala. Karan tu respond nahi karat ahe
me?? me kadhi respond nahi kela??,I have told manjul to check krishnaveni's status regarding registration He Mala bolya cha hota
oh mala respond ala nahi tichya kadhun 👍🏻,Ho me vicharto Tila parat
"aman bol la to friday la register karel me mark nahi kela mugh tyala, to text karel kela ki",Ho Shivam baghu jar ajj nahi reply kela tar call karun confirm karun ghevuya Me Siddhesh la Excel pathavun thevala ahe
Hoo,Yeto ahes ka re 8la?
"Kashala?? Kahi vicharayacha ahe tar yeto, asa kai nai <This message was edited>",Sir shekavtat ahet
K,8.30 parenta chalel mostly
Oh noice me pochel toparanta Sir ale?? ??,Ho
🥲,Ahet sir center var
Tu thambto ahes ka?? Me matunga la ahe Timepass houn jail🥶,Bolto siran she
😨,Ahet sir ye ye Dadar update: 11 Students have registered. 6 Students have paid bus fare. Pathavu?
Excel madhe check kela na,Ho devansh kade confirm fare cha kela Registration from excel
Out Of these many te pan sang,Ani krishnaveni bolli te offline registration karnar ahe Tila pun consider Karu?
Offline reg hota??,11/19 6/11 Mahit nahi te bolli mala She paid bus fare
Oh mugh kar consider ig,Mug 12/19 Ani 6/12
Perfect,Message takto me
Ho Aye aye captain 🫡,Mala ashmit ne message kela thambuya Tu pay karto ahe
"""To pay karto ahe""??",Nahi nantar Karel bola to
Achaa Lavkar karayala sang nahitar aplya branch cha rahun jail Pan jar to confirm karat asel tar tycha no. Add karun msg send kar,Nahitar ata ekta padavo nantar 8-9 la parat padavu Majehe baba alya var kartil pay mahanun null
👍🏻,Any update on aman?
Nope,He is in
Ohh Noice,Maja access ghetla 😂😂 jala re sarvancha. Rishikesh baki ahe. to 12 cha aadhi denar ahe
sahi ahe,Anything from Anushka?
nope me msg kela ahe to juna no. ahe tu msg kela ahe??,Nahi Number nahi ahe Devansh ni message kila hota
ok karto msg,Ho bhag ekda
anushka bol li nahi yenar,Chalega Only rishikesh bus fare baki he
ohh let me ask,Yaa then will inform Team JKB
yup Rushikesh zopla ahe vat ta msg no delivered,.... 🤦‍♂️
call kela asta pan late zala ahe,Odya karuya mug
hoo,Ho noko Karu
udya sutti ahe mast,Ho zopuya ata
hehe game khele,Chalel chal mug. Gn
GN Bharle tyane👍🏻 https://maps.app.goo.gl/kTn2BmhtTdnxXrjC9 he sir ni sangitle le stops ahet aplya bus sathi tumala ez padel,Thanks 👍
ami sion la tya spot la thambu np bro,Chalel
devansh la pan send kela,Chalel
